"Notes"	"States"	"States Code"	"Age Groups"	"Age Groups Code"	"Cancer Sites"	"Cancer Sites Code"	"Race"	"Race Code"	Count	Population	Crude Rate
	"Alabama"	"01"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	50	235853	21.2
	"Alabama"	"01"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	42	89187	47.1
	"Alabama"	"01"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	128	252812	50.6
	"Alabama"	"01"	"50-54 years"	"50-54"	"Larynx"	"22020"	"White"	"2106-3"	24	242353	9.9
	"Alabama"	"01"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	72	84744	85.0
	"Alabama"	"01"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	175	242353	72.2
	"Alabama"	"01"	"55-59 years"	"55-59"	"Larynx"	"22020"	"White"	"2106-3"	26	224524	11.6
	"Alabama"	"01"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	85	68932	123.3
	"Alabama"	"01"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	303	224524	135.0
	"Alabama"	"01"	"60-64 years "	"60-64"	"Larynx"	"22020"	"White"	"2106-3"	38	194714	19.5
	"Alabama"	"01"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	96	46096	208.3
	"Alabama"	"01"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	447	194714	229.6
	"Alabama"	"01"	"65-69 years"	"65-69"	"Larynx"	"22020"	"White"	"2106-3"	33	152893	21.6
	"Alabama"	"01"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	108	34807	310.3
	"Alabama"	"01"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	559	152893	365.6
	"Alabama"	"01"	"70-74 years"	"70-74"	"Larynx"	"22020"	"White"	"2106-3"	26	123337	21.1
	"Alabama"	"01"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	92	28169	326.6
	"Alabama"	"01"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	547	123337	443.5
	"Alabama"	"01"	"75-79 years"	"75-79"	"Larynx"	"22020"	"White"	"2106-3"	22	99451	22.1
	"Alabama"	"01"	"75-79 years"	"75-79"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	71	21440	331.2
	"Alabama"	"01"	"75-79 years"	"75-79"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	474	99451	476.6
	"Alabama"	"01"	"80-84 years"	"80-84"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	55	15165	362.7
	"Alabama"	"01"	"80-84 years"	"80-84"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	330	71218	463.4
	"Alabama"	"01"	"85+ years"	"85+"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	29	13205	219.6
	"Alabama"	"01"	"85+ years"	"85+"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	143	57414	249.1
	"Alaska"	"02"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	24	43865	54.7
	"Alaska"	"02"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	33	35204	93.7
	"Alaska"	"02"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	45	23694	189.9
	"Alaska"	"02"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	41	14076	291.3
	"Alaska"	"02"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	41	8622	475.5
	"Alaska"	"02"	"75-79 years"	"75-79"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	29	6444	450.0
	"Alaska"	"02"	"80-84 years"	"80-84"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	20	4208	475.3
	"Arizona"	"04"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	30	356969	8.4
	"Arizona"	"04"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	76	368824	20.6
	"Arizona"	"04"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	176	344497	51.1
	"Arizona"	"04"	"55-59 years"	"55-59"	"Larynx"	"22020"	"White"	"2106-3"	25	323480	7.7
	"Arizona"	"04"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	245	323480	75.7
	"Arizona"	"04"	"60-64 years "	"60-64"	"Larynx"	"22020"	"White"	"2106-3"	26	280000	9.3
	"Arizona"	"04"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	411	280000	146.8
	"Arizona"	"04"	"65-69 years"	"65-69"	"Larynx"	"22020"	"White"	"2106-3"	28	226287	12.4
	"Arizona"	"04"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	550	226287	243.1
	"Arizona"	"04"	"70-74 years"	"70-74"	"Larynx"	"22020"	"White"	"2106-3"	20	183034	10.9
	"Arizona"	"04"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	599	183034	327.3
	"Arizona"	"04"	"75-79 years"	"75-79"	"Larynx"	"22020"	"White"	"2106-3"	21	149934	14.0
	"Arizona"	"04"	"75-79 years"	"75-79"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	637	149934	424.9
	"Arizona"	"04"	"80-84 years"	"80-84"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	446	108470	411.2
	"Arizona"	"04"	"85+ years"	"85+"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	270	87330	309.2
	"Arkansas"	"05"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	28	159843	17.5
	"Arkansas"	"05"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	90	167266	53.8
	"Arkansas"	"05"	"50-54 years"	"50-54"	"Larynx"	"22020"	"White"	"2106-3"	17	161056	10.6
	"Arkansas"	"05"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	44	29159	150.9
	"Arkansas"	"05"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	144	161056	89.4
	"Arkansas"	"05"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	41	23185	176.8
	"Arkansas"	"05"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	203	150708	134.7
	"Arkansas"	"05"	"60-64 years "	"60-64"	"Larynx"	"22020"	"White"	"2106-3"	21	133664	15.7
	"Arkansas"	"05"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	43	15039	285.9
	"Arkansas"	"05"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	335	133664	250.6
	"Arkansas"	"05"	"65-69 years"	"65-69"	"Larynx"	"22020"	"White"	"2106-3"	23	108420	21.2
	"Arkansas"	"05"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	34	11249	302.2
	"Arkansas"	"05"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	415	108420	382.8
	"Arkansas"	"05"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	34	8650	393.1
	"Arkansas"	"05"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	430	86656	496.2
	"Arkansas"	"05"	"75-79 years"	"75-79"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	33	6688	493.4
	"Arkansas"	"05"	"75-79 years"	"75-79"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	390	68942	565.7
	"Arkansas"	"05"	"80-84 years"	"80-84"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	20	5302	377.2
	"Arkansas"	"05"	"80-84 years"	"80-84"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	224	50466	443.9
	"Arkansas"	"05"	"85+ years"	"85+"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	138	44045	313.3
	"California"	"06"	"35-39 years"	"35-39"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	40	2014289	2.0
	"California"	"06"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"Asian or Pacific Islander"	"A-PI"	33	396736	8.3
	"California"	"06"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	113	2023262	5.6
	"California"	"06"	"45-49 years"	"45-49"	"Nose, Nasal Cavity and Middle Ear"	"22010"	"White"	"2106-3"	18	2044850	0.9
	"California"	"06"	"45-49 years"	"45-49"	"Larynx"	"22020"	"White"	"2106-3"	44	2044850	2.2
	"California"	"06"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"Asian or Pacific Islander"	"A-PI"	64	384560	16.6
	"California"	"06"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	61	198340	30.8
	"California"	"06"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	325	2044850	15.9
	"California"	"06"	"50-54 years"	"50-54"	"Larynx"	"22020"	"Black or African American"	"2054-5"	16	169547	9.4
	"California"	"06"	"50-54 years"	"50-54"	"Larynx"	"22020"	"White"	"2106-3"	65	1853714	3.5
	"California"	"06"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"Asian or Pacific Islander"	"A-PI"	117	355951	32.9
	"California"	"06"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	93	169547	54.9
	"California"	"06"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	657	1853714	35.4
	"California"	"06"	"55-59 years"	"55-59"	"Nose, Nasal Cavity and Middle Ear"	"22010"	"White"	"2106-3"	23	1578157	1.5
	"California"	"06"	"55-59 years"	"55-59"	"Larynx"	"22020"	"White"	"2106-3"	99	1578157	6.3
	"California"	"06"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"Asian or Pacific Islander"	"A-PI"	113	302084	37.4
	"California"	"06"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	160	135897	117.7
	"California"	"06"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	1083	1578157	68.6
	"California"	"06"	"60-64 years "	"60-64"	"Nose, Nasal Cavity and Middle Ear"	"22010"	"White"	"2106-3"	20	1249578	1.6
	"California"	"06"	"60-64 years "	"60-64"	"Larynx"	"22020"	"White"	"2106-3"	114	1249578	9.1
	"California"	"06"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"Asian or Pacific Islander"	"A-PI"	165	211394	78.1
	"California"	"06"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	175	94907	184.4
	"California"	"06"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	1586	1249578	126.9
