"Notes"	"States"	"States Code"	"Age Groups"	"Age Groups Code"	"Cancer Sites"	"Cancer Sites Code"	"Race"	"Race Code"	Count	Population	Crude Rate
	"Alabama"	"01"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	19	88239	21.5
	"Alabama"	"01"	"40-44 years"	"40-44"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	52	249101	20.9
	"Alabama"	"01"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	37	86263	42.9
	"Alabama"	"01"	"45-49 years"	"45-49"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	86	245573	35.0
	"Alabama"	"01"	"50-54 years"	"50-54"	"Larynx"	"22020"	"White"	"2106-3"	17	224958	7.6
	"Alabama"	"01"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	53	72865	72.7
	"Alabama"	"01"	"50-54 years"	"50-54"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	175	224958	77.8
	"Alabama"	"01"	"55-59 years"	"55-59"	"Larynx"	"22020"	"White"	"2106-3"	18	204538	8.8
	"Alabama"	"01"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	70	50511	138.6
	"Alabama"	"01"	"55-59 years"	"55-59"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	294	204538	143.7
	"Alabama"	"01"	"60-64 years "	"60-64"	"Larynx"	"22020"	"White"	"2106-3"	32	167039	19.2
	"Alabama"	"01"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	72	37858	190.2
	"Alabama"	"01"	"60-64 years "	"60-64"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	397	167039	237.7
	"Alabama"	"01"	"65-69 years"	"65-69"	"Larynx"	"22020"	"White"	"2106-3"	29	139577	20.8
	"Alabama"	"01"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	97	32583	297.7
	"Alabama"	"01"	"65-69 years"	"65-69"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	513	139577	367.5
	"Alabama"	"01"	"70-74 years"	"70-74"	"Larynx"	"22020"	"White"	"2106-3"	19	119156	15.9
	"Alabama"	"01"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"Black or African American"	"2054-5"	86	27145	316.8
	"Alabama"	"01"	"70-74 years"	"70-74"	"Lung and Bronchus"	"22030"	"White"	"2106-3"	582	119156	488.4
